CustomerID,FirstName,LastName,Age,City,Country,Email,CorporateEmail,Newsletter,AgeGroup,CustomerGroup,OrderNumber,ProductNr,StoreID,Date,StoreType,Price
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895421,A-028-1981,Store_2448,2022-01-16,Onsite Store,86.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895421,B-289-2010,Store_2448,2022-01-16,Onsite Store,66.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895421,V-091-2000,Store_2448,2022-01-16,Onsite Store,82.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895421,F-136-2016,Store_2448,2022-01-16,Onsite Store,92.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895421,A-208-1980,Store_2448,2022-01-16,Onsite Store,83.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895421,Z-058-2007,Store_2448,2022-01-16,Onsite Store,74.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895422,B-148-2004,Store_2396,2022-12-18,Online Store,32.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895422,F-289-1991,Store_2396,2022-12-18,Online Store,120.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895422,I-250-2017,Store_2396,2022-12-18,Online Store,72.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895422,G-067-1987,Store_2396,2022-12-18,Online Store,69.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895422,B-097-2007,Store_2396,2022-12-18,Online Store,55.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895423,Q-193-1996,Store_2384,2022-09-11,Online Store,79.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895424,A-136-2013,Store_2383,2022-07-28,Online Store,88.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895425,Q-049-2008,Store_2461,2022-08-23,Onsite Store,58.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895425,N-175-1998,Store_2461,2022-08-23,Onsite Store,64.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895425,W-154-1984,Store_2461,2022-08-23,Onsite Store,69.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895425,F-061-2006,Store_2461,2022-08-23,Onsite Store,152.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895425,Q-091-2011,Store_2461,2022-08-23,Onsite Store,38.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895426,A-220-1984,Store_2350,2022-03-07,Online Store,90.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895426,W-073-1996,Store_2350,2022-03-07,Online Store,65.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895426,F-112-1991,Store_2350,2022-03-07,Online Store,70.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895426,V-169-2009,Store_2350,2022-03-07,Online Store,87.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895426,Z-298-2018,Store_2350,2022-03-07,Online Store,70.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895426,H-124-2006,Store_2350,2022-03-07,Online Store,76.59
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895426,W-010-2000,Store_2350,2022-03-07,Online Store,111.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895427,G-229-2006,Store_2413,2022-08-18,Onsite Store,38.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895427,V-028-2005,Store_2413,2022-08-18,Onsite Store,85.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895427,A-283-2005,Store_2413,2022-08-18,Onsite Store,30.99
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3,23895427,C-196-2011,Store_2413,2022-08-18,Onsite Store,92.59
